stop,vehicle_id,mid_time,date
Zoo,1242,2025-05-19 08:30:27.458329000,2025-05-19
Zoo,1960,2025-05-19 08:40:41.577889500,2025-05-19
Toompark,1242,2025-05-19 08:45:33.496544000,2025-05-19
Zoo,1829,2025-05-19 08:49:03.995228000,2025-05-19
Toompark,1960,2025-05-19 09:02:33.884617000,2025-05-19
Toompark,1829,2025-05-19 09:10:13.391979500,2025-05-19
Zoo,1114,2025-05-20 08:29:31.346494500,2025-05-20
Zoo,1113,2025-05-20 08:40:46.828182500,2025-05-20
Toompark,1114,2025-05-20 08:45:05.779665500,2025-05-20
Zoo,1157,2025-05-20 08:50:15.491756500,2025-05-20
Toompark,1113,2025-05-20 08:57:19.689681500,2025-05-20
Toompark,1157,2025-05-20 09:05:37.684714500,2025-05-20
Zoo,1215,2025-05-21 08:30:25.424575000,2025-05-21
Zoo,1961,2025-05-21 08:39:38.877585000,2025-05-21
Toompark,1215,2025-05-21 08:44:00.527603000,2025-05-21
Zoo,1289,2025-05-21 08:49:51.552645500,2025-05-21
Toompark,1961,2025-05-21 08:54:26.313446000,2025-05-21
Toompark,1289,2025-05-21 09:02:54.043127000,2025-05-21
Zoo,1186,2025-05-22 08:29:45.483308000,2025-05-22
Zoo,1109,2025-05-22 08:40:38.990763000,2025-05-22
Toompark,1186,2025-05-22 08:43:11.698739500,2025-05-22
Zoo,1222,2025-05-22 08:49:28.320104000,2025-05-22
Toompark,1109,2025-05-22 08:56:48.456954500,2025-05-22
Toompark,1222,2025-05-22 09:04:51.113551000,2025-05-22
Zoo,1161,2025-05-23 08:29:42.334611000,2025-05-23
Zoo,1477,2025-05-23 08:39:17.947610000,2025-05-23
Toompark,1161,2025-05-23 08:44:41.346185000,2025-05-23
Zoo,1238,2025-05-23 08:49:11.077372500,2025-05-23
Toompark,1477,2025-05-23 08:53:53.124072500,2025-05-23
Toompark,1238,2025-05-23 09:04:40.232982500,2025-05-23
Zoo,1162,2025-05-26 08:29:48.948729000,2025-05-26
Zoo,1967,2025-05-26 08:40:06.564722000,2025-05-26
Toompark,1162,2025-05-26 08:46:48.126134000,2025-05-26
Zoo,1157,2025-05-26 08:50:16.513711500,2025-05-26
Toompark,1967,2025-05-26 08:57:59.462270000,2025-05-26
Toompark,1157,2025-05-26 09:04:38.538298500,2025-05-26
